Unnamed: 0,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,u18,u19,u20,u21,u22,u23,u24,u25,u26,u27,u28,u29,u30,u31,u32,u33,u34,u35,u36,u37,u38,u39,u40,u41,u42,u43,u44,u45,u46,u47,u48,u49,u50,u51,u52,u53,u54,u55,u56,u57,u58,u59,u60,u61,u62,u63,u64,u65,u66,u67,u68,u69,u70,u71,u72,u73,u74,u75,u76,u77,u78,u79,u80,u81,u82,u83,u84,u85,u86,u87,u88,u89,u90,u91,u92,u93,u94,u95,u96,u97,u98,u99,u100
s18,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,2,4,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0
s19,0,0,0,0,0,27,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,7,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,13,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
s20,0,0,2,0,0,14,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,6,2,0,0,0,0,4,6,2,0,1,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,12,0,0,0,0,0,4,0,10,1,2,0,0,0,0,1,0,0,0,0,0,3,0,5,0,0,0,0,0,2,0,0,0
s21,0,18,0,0,0,0,0,161,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,2,8,0,0,0,0,0,4,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,29,0,0,15,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0
s22,0,47,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,2,0,2,0,6,0,0,0,0,0,0,10,0,0,1,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,11,0,0,0,27,3,0,0,0,0,0,0
s23,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,5,0,0,2,38,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,3,5,0,0,0,12,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,15,11,11,0,0,0
s24,0,0,0,9,0,1,0,0,0,1,0,9,0,0,0,0,0,0,0,0,3,0,0,6,6,14,0,0,0,22,12,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,12,12,0,0,0,7,0,0,4,0,0,2,2,0,1,0,0,0,0,0,0,0,27,0,0,0,2,0,0,5,0,0,0,0,0,0,0,6,0,0,2
s25,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,42,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,18,8,6,0,0,0
s26,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,16,0,0,0,3,0,0,0,0,10,0,0,3,0,0,0,0,2,0,10,0,0,0,0,0,0,0
s27,0,29,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,6,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,4,1,1,0,0,3,2,0,0,0,50,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
s28,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,17,0,1,0,0,0,2,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,24,1,10,0,0,1,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,2,6,0,0,0
s29,15,0,0,0,0,0,0,0,0,0,0,9,15,0,0,0,0,0,0,0,0,21,0,2,0,16,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,5,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
s30,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,6,2,28,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,0,0,3,0,0,0,1,3,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0
s31,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,0,0,0,0,0,2,8,0,0,0,14,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,22,0,10,0,0,13,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,21,0,0,5,2,0,0,0
s32,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,6,1,0,0,0,4,0,0,0,0,38,0,8,0,0,2,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0
s33,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,10,0,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,6,2,0,0,0
s34,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,4,8,0,30,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,31,0,0,0,3,0,0,0,3,0,0,0,3,1,0,0,7,0,0,1,0,1,0,0,0,0,1,0,0,0,0
s35,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,2,0,0,8,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,3,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,15,0,0,0
s36,0,0,0,0,0,0,0,0,0,0,1,27,0,0,0,3,2,0,0,0,0,0,0,0,8,0,0,0,0,0,2,6,11,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,6,1,0,3,0,2,0,0,1,1,0,0,0,17,0,0,3,12,0,6,0,0,0,0,5,9,0,0,0,0,1
s37,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,13,3,0,0,0,0,0,0,2,2,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1,0,2,0,0,8,0,0,0,0,0,3,1,43,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,14,0,0,0
s38,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,18,0,2,0,0,0,0,0,0,0,0,2,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,3,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,7,0,0,1,1,0,0,0
s39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,1,0,11,0,0,0,0,0,0,10,0,0,0,3,0,29,0,0,0,0,0,0,0,9,1,1,3,0,0,0,0,0,0,9,0,0,0,2,0,0,5,0,2,1,1,0,51,27,4,0,0,0
s40,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,16,143,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,42,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,34,0,0,0
s41,0,0,1,7,0,6,0,120,2,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,6,10,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,4,10,1,0,1,1,0,0,2,0,0,0,0,1,0,0,17,9,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,22,0,0,0,0,0,0,8,0,0,0,0
s42,0,0,0,0,0,0,0,0,0,2,2,0,0,0,4,0,3,0,9,0,0,0,0,0,2,2,0,0,0,0,0,0,9,0,0,0,0,5,0,0,1,0,0,6,0,0,3,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,1
s43,0,0,24,0,8,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,64,0,2,0,0,0,12,0,2,0,0,1,0,1,0,0,2,3,1,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,18,0,0,0,0,0,0,0
s44,1,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,3,0,0,0,0,1,11,3,0,0,0,1,0,0,0,5,0,0,2,0,0,2,0,1,0,1,2,0,1,1,0,0,0
s45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,1,0,5,11,0,0,0,0,0,5,0,0,0,0
s46,0,2,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21,5,0,0,0,0,0,0,1,1,0,0,37,0,0,0,2,0,0,0,1,0,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,13,0,0,0
s47,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,2,0,0,8,4,4,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,3,0,0,0,0,3,0,0,0
s48,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,2,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,1,5,0,5,0,0,0
s49,0,12,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,10,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,4,0,6,0,1,0,44,0,6,0,0,0,0,0
s50,0,2,0,0,1,0,0,0,3,0,0,0,0,0,12,1,2,0,19,0,0,0,0,4,4,2,0,0,2,0,0,0,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,1,0,0,0,1,0,0,0,0,15,0,0,2,0,4,0,0,0,1,0,3,0,0,0,4,0,0,0,8,3,0,0,0,0,0,0,0,1,0,0,2,4,2,5,0,0,0
s51,0,12,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,4,0,0,1,0,0,2,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,11,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,11,6,0,0,0
s52,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,3,0,0,4,0,0,0,2,0,0,0,0,2,2,4,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,13,0,0,0,0,0,2,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0
s53,0,31,0,2,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,6,72,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,2,0,0,10,0,0,0,20,0,0,0,8,0,1,92,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,7,0,26,0,0,0
s54,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,10,0,4,49,0,2,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,16,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0
s55,0,4,0,1,0,2,0,0,0,0,0,1,0,0,0,2,0,35,0,0,0,0,0,18,2,0,0,0,30,0,4,0,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,2,0,0,1,0,0,0,3,1,0,0,0,6,5,0,0,2,0,0,0,1,0,0,0,2,4,0,17,0,2,0,33,3,0,0,0,0,0,0
s56,0,0,0,2,0,0,0,0,0,0,0,23,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,17,0,19,0,3,0,17,0,0,0,0,0,0,4
s57,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,2,0,18,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,8,0,1,1,0,0,11,0,0,0,2,2,0,0,0,0,0,15,3,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,10,0,0,7,0,4,0,3,0,0,0,0,0,0,2
s58,2,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,6,0,8,0,10,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,0,0,0,0,0,1,0,1,0,0,0,0,9,0,0,0,1,0,0,0,2,0,6,0,0,0,34,0,0,5,21,0,0,0,9,4,0,0,0,0,0
s59,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,53,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,2,0,0,0,0,0,0,1,0,0,0,3,0,58,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
s60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,4,2,48,0,0,2,0,4,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,0,0,0,0,0,0,1,18,0,0,0
s61,0,0,40,0,63,1,0,0,0,0,4,5,0,0,0,9,9,0,0,0,0,86,28,4,44,30,10,0,2,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,5,0,2,0,7,1,1,1,1,2,2,1,0,1,0,5,0,0,0,1,3,11,0,0,1,0,0,0,0,12,14,7,0,0,0,1,0,1,0,0,2,4,10,1,0,0,0
s62,0,0,15,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,26,0,0,0,0,0,0,68,0,0,0,0,6,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,3,0,0,0,0,0,3,37,13,0,1,1,0,0,0,0,0,15,0,0,0,4,0,0,0,0,5,0,2,0,0,0,0
s63,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,14,10,0,0,2,0,0,0,4,32,0,0,0,0,0,10,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,7,0,0,0,2,19,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,4,0,0,1,1,1,0,0,5,0,6,0,2,0,0,0
s64,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,6,2,0,34,0,0,0,0,0,2,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,12,1,0,2,0,3,0,0,0,0,0,0,0,8,0,0,9,1,0,3,0,0,0,1,3,0,0,0,0,0,1
s65,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,2,0,1,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,2,19,0,0,0
