,s153,s167,s234,s248,s259,s425,s535,s624,s789,s853,s901,s949,s956,s1207,s1210,s1235,s1352,s1455,s1527,s1649,s1721,s1741,s1795,s1813,s1875,s1965,s1972,s1980,s2052,s2118,s2155,s2300,s2301,s2312,s2313,s2696,s2713,s2734,s2738,s2759,s2765,s3198,s3271,s3409,s3454,s3618,s3789,s3796,s3849,s3970,s3997,s4031,s4064,s4113,s4158,s4230,s4232,s4351,s4353,s4580,s4878,s4912,s4922,s4983,s5070,s5152,s5157,s5392,s5425,s5502
20,0,2,0,14,10,0,11,1,0,0,12,13,0,1,3,6,5,19,0,0,5,24,0,0,6,13,18,49,3,0,0,6,3,11,14,2,0,1,0,0,6,0,0,0,4,0,17,1,0,7,0,0,3,0,0,0,32,0,0,20,17,19,6,2,14,14,37,0,4,18
21,86,0,8,0,0,1,16,4,0,0,0,3,0,0,0,2,6,0,0,0,0,5,0,4,8,0,4,0,0,4,0,0,0,0,3,0,1,0,1,0,3,0,5,0,1,0,56,0,0,0,6,3,179,0,1,0,32,0,2,0,0,0,2,0,37,2,0,0,0,38
22,28,0,2,200,14,0,0,344,48,34,0,0,0,44,0,2,44,14,0,0,4,0,0,0,70,0,0,502,2,0,0,100,0,56,0,0,0,0,0,4,16,54,16,4,88,0,0,30,82,150,64,12,0,8,0,100,0,6,2,0,0,0,0,72,24,0,0,0,0,0
23,4,8,8,12,0,0,20,4,0,20,8,10,6,14,0,12,4,2,4,6,12,2,10,0,6,2,8,6,2,6,6,4,2,44,8,0,2,4,12,12,14,10,2,28,0,2,16,2,0,2,0,4,6,10,0,0,0,2,4,4,0,4,6,10,46,30,8,10,0,44
24,44,0,8,0,0,0,0,2,154,0,94,48,0,0,0,2,0,8,4,4,10,20,44,0,8,10,0,16,42,2,34,24,36,62,48,2,0,0,14,2,8,0,14,6,10,18,0,6,4,12,0,4,24,0,2,0,0,10,2,10,8,2,2,8,0,6,18,16,8,2
25,30,194,0,138,64,10,0,92,10,0,0,16,0,0,32,90,0,0,0,16,2,2,0,0,0,10,0,20,0,0,0,0,50,128,6,26,62,0,18,0,174,0,8,0,0,36,24,8,8,0,0,10,44,0,0,0,0,0,2,0,2,0,0,0,20,4,0,2,0,8
26,10,0,0,0,4,12,14,0,22,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,16,0,16,18,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,10,22,0,0,60,2,12,2,0,4,0,0,0,6,0,0,0
27,0,8,0,8,0,2,2,6,10,2,0,4,0,6,2,4,10,4,0,2,2,0,2,0,6,4,0,2,4,0,6,36,0,324,8,4,10,0,0,0,0,6,4,0,0,14,4,0,0,4,8,0,14,0,0,0,0,2,20,0,2,0,0,2,8,4,0,0,6,6
28,2,64,8,14,6,0,10,12,2,0,22,92,24,10,0,18,52,2,4,0,22,26,2,16,8,2,6,6,2,2,8,30,0,34,2,4,12,12,8,22,6,4,2,2,4,8,8,0,4,4,8,12,4,0,16,46,4,2,14,8,0,160,6,6,34,40,0,0,10,4
29,0,4,2,0,2,0,12,2,0,2,12,0,0,0,0,10,0,6,22,4,0,12,0,0,12,0,0,2,72,22,4,0,0,40,0,6,0,0,114,0,0,4,0,0,0,0,20,4,8,0,10,0,80,0,2,0,12,22,0,6,0,0,10,0,0,0,0,0,0,14
30,0,52,4,16,4,14,22,4,2,16,34,12,10,10,8,10,24,12,14,8,10,12,12,6,10,10,16,26,38,2,26,18,22,42,34,0,20,14,32,14,10,4,20,18,44,4,12,16,4,8,8,6,14,24,16,4,4,8,10,2,12,2,10,4,30,22,6,12,10,22
31,0,18,0,2,2,0,0,0,0,4,0,0,2,2,0,2,0,4,54,0,0,0,0,0,0,0,2,46,0,0,0,0,0,20,2,56,0,0,2,0,4,2,2,0,0,0,2,0,0,2,0,0,0,0,2,18,40,0,0,0,26,0,0,0,0,0,0,0,0,0
32,4,0,0,20,0,12,67,0,2,0,0,13,2,2,50,0,0,0,0,6,0,0,69,4,2,0,2,38,0,2,0,16,0,12,66,0,4,94,0,2,19,5,31,2,58,185,0,0,0,123,40,0,4,0,2,0,3,0,0,2,0,15,2,0,9,0,0,47,4,2
33,0,0,21,0,4,1,9,0,0,6,1,0,0,3,0,8,6,2,0,1,10,21,0,3,3,0,0,0,0,8,5,0,0,13,0,0,0,0,4,1,2,0,3,4,0,0,0,0,0,0,3,1,0,13,2,0,0,0,1,0,18,2,14,1,12,1,6,0,1,7
34,0,0,0,7,0,0,0,0,0,1,2,1,0,5,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,9,3,0,1,24,1,2,9,0,4,0,0,0,0,4,0,0,0,0,2,3,2,0,4,0,1,0,1,1,0,0,1,0,4,0,2,0,0,0,0,0
35,0,0,0,1,0,2,0,5,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,3,1,0,0,8,10,0,1,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,2,1,0,0,1,1,0,1,1,1,0,0,1,1
36,0,3,0,2,0,46,0,7,0,1,0,4,0,0,0,0,0,0,1,0,1,7,1,0,1,0,1,2,5,3,3,5,0,1,0,3,21,1,0,0,1,13,0,0,0,0,3,0,1,0,3,12,32,0,0,1,0,1,0,1,0,0,2,10,1,10,0,0,18,1
37,1,7,0,10,0,0,0,12,0,0,0,0,0,1,2,0,0,7,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,25,0,0,0,0,0,0,1,0,0,0,7,0,13,0,0,0,6,1,1,0,6,0,1,3,0,6,15,0,0,0,4,0,0,0,0,6
38,0,0,0,0,0,0,0,5,36,0,0,0,0,8,144,0,2,1,0,0,3,4,0,0,12,3,3,0,3,0,11,1,8,0,7,0,0,0,2,0,0,3,2,0,0,0,1,0,0,0,0,2,0,22,0,39,1,0,2,0,0,1,13,0,9,6,1,5,8,0
39,0,9,0,4,3,0,7,1,0,0,0,1,0,1,0,0,24,0,2,25,0,0,0,0,0,0,1,0,0,0,2,2,0,36,0,0,0,0,0,0,6,3,0,1,0,2,4,0,0,0,0,0,0,11,0,10,0,0,3,0,2,0,3,2,0,46,5,0,7,0
40,0,2,1,5,0,1,4,5,6,1,1,7,1,6,2,0,0,2,1,0,2,1,2,0,14,2,4,6,1,0,3,3,0,19,1,9,3,0,1,4,4,2,6,0,3,1,0,8,6,2,6,0,1,2,1,0,0,2,1,8,0,1,0,1,5,0,2,4,0,4
41,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,2,0,0,1,0,0,0,0,0,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,0,0,0,0,0
42,1,0,0,1,0,0,3,4,0,0,2,1,1,0,3,1,1,0,1,1,3,0,0,1,2,1,0,1,1,0,0,1,1,5,1,0,3,0,1,0,1,1,4,1,0,1,2,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,2,1,6,1,3,0,1,3
43,0,78,0,13,1,75,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,0,2,0,0,3,4,0,0,24,10,0,0,2,0,0,0,0,0,0,0,0,13,0,0,0,0,35,0,0,2,0,0,2,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0
44,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0
45,0,2,0,0,0,0,1,4,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,1,0,1,3,0,0,0,2,0,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
46,0,0,0,2,0,0,0,0,6,0,0,1,0,0,0,2,0,8,1,2,11,0,0,2,31,0,0,3,15,0,1,14,0,2,0,0,0,0,0,0,0,0,19,0,17,0,0,1,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0
48,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,3,4,2,0,0,4,0,0,2,3,4,3,0,0,3,2,2,6,3,7,1,11,0,0,9,12,0,0,1,3,8,3,1,8,0,5,0,0,0,0,1,0,2,0,2,3,1,2,0,0,0,0,2,0,0,0,0,1,0,3,0,3,10,13,26,14,0,0,0,2
50,0,4,9,8,1,0,1,0,0,18,1,4,0,2,0,0,22,0,0,4,0,0,0,0,0,24,2,1,0,0,15,1,1,3,1,1,0,0,3,0,5,2,3,3,0,1,4,9,0,0,5,0,4,6,0,16,1,10,3,1,0,0,3,6,2,17,11,21,0,0
51,1,2,0,0,0,5,6,22,0,31,1,1,0,0,4,0,0,18,7,4,3,1,1,0,0,1,5,0,0,4,1,2,2,70,3,6,0,1,2,0,1,4,5,0,14,21,0,0,4,2,21,3,0,3,0,18,1,0,1,1,5,0,1,0,1,1,0,0,5,3
52,0,1,1,2,2,0,1,3,3,11,0,2,0,0,5,1,1,2,0,1,2,0,2,4,2,6,0,4,1,1,1,6,2,48,7,3,2,0,0,0,0,0,12,1,0,2,0,1,1,1,5,2,0,3,0,1,3,0,1,3,0,1,2,3,7,2,1,0,1,4
53,5,0,0,31,0,0,13,4,21,147,26,0,0,0,50,5,4,1,14,2,0,17,0,0,0,0,17,21,167,0,84,0,0,216,0,11,0,8,0,0,1,2,44,0,54,8,0,3,9,65,17,0,0,4,0,1,0,0,0,0,2,0,24,3,0,2,20,4,0,11
54,0,0,0,7,11,0,16,0,1,0,0,18,0,0,0,16,0,1,0,0,0,0,0,0,15,0,0,3,13,0,0,0,0,11,0,0,0,0,0,0,17,7,20,0,0,0,23,0,2,17,0,0,0,10,12,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2,0,0,1,1,5,7,18,3,2,0,6,5,0,3,0,0,0,3,1,0,0,1,8,2,4,3,0,1,0,22,0,2,14,6,4,0,0,4,1,2,1,3,0,4,0,2,2,0,2,10,0,0,1,0,1,0,3,0,1,0,1,10,0,1,0,1,0,2,1
56,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,7,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,1,4,2,0,1,0,1,9,1,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,2,0,0,4,0,0,0,0,3,7,2,1,0,0,0,2,0,0,0,0,0,1
58,1,5,3,8,1,1,1,6,1,1,1,1,8,0,3,1,0,1,3,2,7,1,0,1,1,0,2,4,0,2,1,3,1,7,4,1,15,0,1,2,2,3,3,6,1,0,9,0,3,1,1,8,3,5,1,0,1,1,1,1,0,1,1,2,9,1,3,17,5,7
59,1,1,1,3,4,3,2,1,1,0,0,2,0,3,3,0,9,1,6,1,11,3,2,2,7,4,14,5,1,3,1,27,0,10,3,5,4,12,19,2,33,0,1,1,9,7,6,2,2,3,0,1,5,2,1,1,3,1,1,3,3,3,4,6,12,5,5,0,3,4
60,1,1,1,3,4,3,2,1,1,0,0,2,0,3,3,0,9,1,6,1,11,3,2,2,7,4,14,5,1,3,1,27,0,10,3,5,4,12,19,2,33,0,1,1,9,7,6,2,2,3,0,1,5,2,1,1,3,1,1,3,3,3,4,6,12,5,5,0,3,4
61,1,0,2,7,0,0,0,1,0,6,1,1,2,1,3,5,1,0,1,1,0,0,0,0,1,0,1,0,0,0,11,1,2,6,0,2,0,1,1,1,2,1,2,1,1,1,0,1,3,0,2,0,1,0,0,0,0,1,0,0,0,4,1,1,2,4,3,4,0,0
62,2,0,0,12,2,0,1,1,2,0,0,0,2,0,0,0,0,10,0,0,0,1,6,0,0,1,1,1,0,0,0,0,1,8,4,0,2,2,0,0,9,0,11,0,0,31,2,1,6,0,0,27,0,0,0,0,3,0,0,4,0,0,0,0,0,0,1,0,0,0
63,2,0,2,0,1,0,0,5,2,0,1,13,1,23,1,10,0,0,9,0,15,0,86,0,1,0,24,7,1,15,2,1,0,2,0,7,0,0,0,0,2,20,22,0,0,0,0,42,1,0,0,7,5,1,0,24,12,0,0,5,0,0,0,1,0,0,0,12,15,0
64,1,1,7,0,1,0,7,0,0,5,2,0,0,0,0,1,0,0,0,0,0,1,2,4,0,3,3,7,0,0,0,0,1,8,2,1,1,2,12,1,3,0,5,3,1,0,0,0,0,2,1,4,0,1,1,0,0,0,0,0,0,2,0,7,3,6,0,8,0,0
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,1,0,23,9,0,24,0,13,3,0,0,16,0,0,3,15,0,5,0,17,10,8,0,0,0,2,2,16,0,26,0,39,0,3,6,0,0,0,0,1,8,0,6,13,0,8,0,9,16,0,3,4,13,50,5,37,7,24,6,0,6,21,5,2,4,3,5,0,40,15
67,0,8,4,13,2,5,5,7,6,4,3,15,1,1,7,18,2,20,5,11,2,10,1,2,5,6,1,14,3,9,8,6,7,180,2,0,28,4,0,3,58,2,2,1,30,14,2,2,3,68,1,2,11,0,10,11,3,1,6,3,30,1,8,1,7,0,1,0,5,1
68,5,7,3,0,0,36,0,18,3,0,4,0,4,14,0,0,2,9,0,3,1,0,9,0,8,0,0,1,0,0,0,16,0,123,0,0,8,2,2,0,0,0,78,2,0,14,52,0,0,1,0,0,0,10,2,0,12,0,5,0,9,3,0,9,3,9,0,0,6,4
69,0,25,8,0,1,0,0,0,0,41,13,0,5,0,0,0,0,0,0,0,0,3,1,6,1,0,4,0,0,2,36,14,6,6,15,0,0,9,8,17,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,5,6,13,0,0,9,12,0,3,0,2
70,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,1,0,1,0,0,5,1,1,0,0,0,0,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,0,4,0,1,0
71,0,0,12,16,0,1,0,1,2,3,9,2,0,5,5,1,0,17,0,13,11,7,12,0,6,3,1,11,5,1,2,0,0,7,0,29,3,2,1,9,1,2,6,0,0,7,0,7,4,0,0,14,5,6,3,0,7,4,11,0,4,3,9,10,0,0,18,80,0,0
72,1,0,1,0,0,0,1,1,0,2,0,0,1,8,0,0,1,1,0,2,0,1,1,0,0,2,0,1,6,0,0,0,0,2,0,2,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,3
73,3,95,0,30,31,9,56,22,11,7,0,48,3,6,3,58,0,2,6,4,3,7,1,4,11,3,0,10,2,20,0,12,0,117,4,1,1,0,5,3,25,23,23,5,2,16,49,6,2,9,102,5,7,0,50,0,29,5,2,2,3,4,3,0,89,2,0,0,5,24
74,11,82,3,7,2,4,4,1,2,3,0,9,4,3,8,3,0,12,2,6,25,4,11,24,7,3,0,15,12,2,5,3,2,10,0,0,31,3,34,9,9,0,8,3,0,3,20,0,1,0,0,7,17,0,2,1,4,10,0,0,0,0,2,9,23,9,3,3,2,10
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,2,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,1,0,0,0,54
76,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,1,16,1,8,27,0,0,64,1,2,0,0,6,1,0,11,13,11,0,0,0,1,1,1,1,1,0,0,0,11,2,1,1,39,1,1,1,4,1,5,0,1,2,5,0,0,29,4,0,2,0,1,18,1,2,0,0,3,0,0,0,0,2,0,4,44,0,3,1,2
78,0,0,2,2,0,1,1,1,1,0,0,9,1,6,0,0,1,0,0,3,0,2,10,1,8,0,0,7,0,0,0,1,0,0,3,0,1,0,2,0,0,0,0,0,0,6,0,0,4,0,0,0,4,0,2,0,0,2,1,0,8,0,1,9,1,0,1,0,0,3
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
81,0,0,0,15,1,1,11,0,0,3,0,1,8,0,0,29,10,5,1,5,0,7,42,0,0,2,0,2,2,0,0,0,0,2,0,17,1,12,31,5,18,12,1,1,0,0,4,0,0,22,0,18,1,2,0,0,0,0,1,12,3,0,0,0,15,7,1,2,10,5
82,12,1,0,15,1,0,1,3,1,12,0,1,2,5,0,3,0,0,0,0,3,0,0,0,0,3,3,10,5,0,1,6,4,6,0,1,0,0,1,4,2,10,1,4,5,3,1,0,0,0,0,0,2,1,0,3,0,4,3,0,3,2,0,2,8,0,3,2,5,1
83,14,0,0,0,0,0,0,1,0,75,0,36,0,0,1,0,0,0,15,0,0,0,16,0,0,0,18,0,0,0,0,16,4,0,10,0,0,0,0,44,0,33,0,0,0,0,0,26,0,0,0,0,0,0,12,49,0,0,0,18,1,0,0,31,14,29,0,3,0,0
84,7,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,2,0,2,53,0,0,0,0,0,0,0,0,2,0,0,11,8,5,0,7,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,11,2,0,10,0
85,0,0,0,0,0,1,36,1,6,31,0,7,1,0,1,24,3,5,3,4,6,0,20,4,0,10,12,0,12,0,2,1,1,2,2,0,3,0,0,1,9,6,11,1,2,1,2,0,14,0,3,0,1,6,0,1,0,0,3,7,49,6,0,4,1,5,15,0,0,0
86,0,0,0,0,0,0,0,35,19,0,0,0,0,2,1,0,0,0,0,0,0,0,6,1,0,0,3,0,0,0,0,0,8,4,0,5,0,0,16,5,0,11,5,3,19,0,0,0,9,2,0,0,0,5,3,1,0,0,0,3,6,0,4,0,29,1,0,45,0,0
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
88,1,85,18,2,40,5,5,2,4,32,5,27,19,5,5,3,22,1,2,11,12,1,34,11,2,31,10,32,1,7,13,3,3,2,0,1,0,12,13,27,2,56,8,24,12,2,5,5,19,5,15,1,101,11,0,30,2,0,7,6,14,9,5,4,5,21,15,8,5,0
89,0,0,4,0,0,0,17,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,2,0,0,0,1,0,0,0,0,13,0,0,2,12,0,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,14
90,1,1,0,0,3,1,7,4,0,1,1,0,6,0,0,0,3,3,1,1,1,2,2,4,1,2,3,1,3,0,0,0,2,29,7,2,2,2,3,8,4,0,0,4,0,3,0,0,5,3,1,3,4,0,0,0,1,1,1,2,0,2,2,0,2,2,0,1,7,84
91,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,3,0,0,5,13,0,1,0,1,0,2,0,0,0,0,1,0,1,5,3,0,2,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,3,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
92,0,133,4,6,15,11,0,10,10,19,3,11,37,1,0,1,21,2,1,57,0,2,0,3,11,8,2,0,23,0,12,6,2,9,13,0,0,0,19,107,1,2,10,102,1,0,53,0,0,68,0,0,10,6,0,46,0,2,0,0,16,8,18,49,31,29,23,43,3,0
93,2,1,0,9,0,28,10,8,0,22,3,0,2,12,0,0,0,2,5,0,0,0,0,0,0,0,0,1,2,0,4,7,2,12,1,16,0,0,9,1,3,3,0,4,5,4,0,0,1,0,0,2,0,0,0,0,0,0,0,0,3,1,3,0,1,12,0,0,1,0
