,Unnamed: 0,songname,count,songid
7604,7604,A Moment Of Clarity,15,s84
7630,7630,A Movie Script Ending,14,s85
7742,7742,A Night Like This,12,s86
7783,7783,A Passing Feeling,12,s87
7844,7844,A Place Called Home,12,s88
7924,7924,A Punchup At A Wedding,19,s89
7925,7925,A Punchup At A Wedding. (No No No No No No No No.),10,s90
8034,8034,A Rush Of Blood To The Head,21,s91
8192,8192,A Soldier'S Tale,11,s92
8248,8248,A Sorta Fairytale,12,s93
8316,8316,A Stranger,13,s94
8452,8452,A Time To Be So Small,15,s95
8585,8585,A Warm Place,14,s96
8610,8610,A Well Respected Man,11,s97
8618,8618,A Whisper,16,s98
8657,8657,A Wolf At The Door,17,s99
8658,8658,A Wolf At The Door. (It Girl. Rag Doll.),10,s100
8713,8713,A&E,12,s101
8743,8743,A-Punk,14,s102
9000,9000,Abc,16,s103
9090,9090,About A Girl,28,s104
9309,9309,Acceptable In The 80'S,10,s105
9338,9338,Accidental Babies,10,s106
9386,9386,Ace Of Spades,18,s107
9438,9438,Acid Food,10,s108
9530,9530,Acrobat,16,s109
9559,9559,Across The Universe,24,s110
9641,9641,Action,16,s111
9706,9706,Adagio,10,s112
9778,9778,Added Family,10,s113
9781,9781,Addicted,27,s114
9795,9795,Addiction,14,s115
9906,9906,Adrenaline,10,s116
9980,9980,Aeon,11,s117
9991,9991,Aerials,19,s118
10001,10001,Aerodynamic,19,s119
10013,10013,Aeroplane,22,s120
10077,10077,Afraid,15,s121
10096,10096,Africa,18,s122
10167,10167,After All,18,s123
10182,10182,After Dark,17,s124
10194,10194,After Hours,18,s125
10234,10234,After The Gold Rush,11,s126
10281,10281,Afterglow,14,s127
10294,10294,Aftermath,14,s128
10308,10308,Afternoon Sister,12,s129
10341,10341,Again,31,s130
10349,10349,Again And Again,10,s131
10362,10362,Against All Odds,18,s132
10419,10419,Ageless Beauty,10,s133
10423,10423,Agenda Suicide,13,s134
10430,10430,Agent Orange,11,s135
10470,10470,Agnus Dei,11,s136
10489,10489,Agoraphobia,12,s137
10724,10724,Ain'T No Easy Way,17,s138
10742,10742,Ain'T No Mountain High Enough,13,s139
10747,10747,Ain'T No Other Man,10,s140
10764,10764,Ain'T No Sunshine,22,s141
10848,10848,Air,17,s142
10887,10887,Air Raid Gtr,14,s143
10897,10897,Air War,12,s144
10902,10902,Airbag,30,s145
11129,11129,Alabama Song,13,s146
11148,11148,Alala,16,s147
11178,11178,Alarm Call,13,s148
11281,11281,Alcohol,24,s149
11408,11408,Alice,24,s150
11446,11446,Alien,15,s151
11494,11494,Alison,19,s152
11497,11497,Alive,43,s153
11568,11568,All About Us,11,s154
11575,11575,All Alone,23,s155
11583,11583,All Along The Watchtower,27,s156
11596,11596,All Apologies,23,s157
11609,11609,All Around The World,16,s158
11616,11616,All At Once,13,s159
11628,11628,All Because Of You,13,s160
11658,11658,All Day And All Of The Night,11,s161
11699,11699,All Fired Up,18,s162
11712,11712,All For You,10,s163
11713,11713,"All For You, Sophia",10,s164
11736,11736,All Good Things (Come To An End),14,s165
11794,11794,All I Have To Do Is Dream,10,s166
11803,11803,All I Need,50,s167
11828,11828,All I See,11,s168
11838,11838,All I Want,20,s169
11844,11844,All I Want For Christmas Is You,10,s170
11850,11850,All I Want Is You,19,s171
11875,11875,All In My Head,10,s172
11908,11908,All Is Full Of Love,24,s173
11953,11953,All Mine,22,s174
11970,11970,All My Friends,22,s175
11976,11976,All My Heroes Are Weirdos,10,s176
11978,11978,All My Life,20,s177
11983,11983,All My Love,14,s178
11986,11986,All My Loving,14,s179
11999,11999,All Neon Like,12,s180
12012,12012,All Night Long,15,s181
12077,12077,All Or Nothing,16,s182
12102,12102,All Over The World,17,s183
12108,12108,All Over You,10,s184
12122,12122,All Right Now,10,s185
12154,12154,All Sparks,19,s186
12209,12209,All That She Wants,11,s187
12216,12216,All That We Perceive,11,s188
12270,12270,All The Love In The World,17,s189
12291,12291,All The Pretty Faces,14,s190
12311,12311,All The Small Things,10,s191
12318,12318,All The Things She Said,10,s192
12331,12331,All The Way,23,s193
12369,12369,All The Young Dudes,14,s194
12385,12385,All These Things That I'Ve Done,37,s195
12440,12440,All Tomorrow'S Parties,13,s196
12461,12461,All We Are,14,s197
12472,12472,All We Have Is Now,10,s198
12518,12518,All You Need Is Love,21,s199
12724,12724,Allison,10,s200
12816,12816,Almost Crimes (Radio Kills Remix),10,s201
12864,12864,Alms,14,s202
12876,12876,Alone,31,s203
12889,12889,Alone Again,10,s204
12894,12894,Alone Again Or,11,s205
12906,12906,Alone Down There,10,s206
12911,12911,Alone In Kyoto,24,s207
12927,12927,Alone Together,14,s208
12937,12937,"Alone, Together",13,s209
12964,12964,Alpha Beta Gaga,16,s210
12969,12969,Alpha Male,16,s211
13023,13023,Alright,25,s212
13163,13163,Aluminum,14,s213
13177,13177,Always,33,s214
13234,13234,Always On My Mind,17,s215
13263,13263,Always Too Late,14,s216
13430,13430,Amazed,14,s217
13435,13435,Amazing,13,s218
13446,13446,Amazing Grace,15,s219
13453,13453,Amazon,15,s220
13468,13468,Amber,17,s221
13507,13507,Ambition,15,s222
13515,13515,Ambulance,12,s223
13546,13546,Amen,13,s224
13560,13560,America,31,s225
13634,13634,American Idiot,24,s226
13642,13642,American Life,10,s227
13660,13660,American Pie,16,s228
13689,13689,American Woman,10,s229
13702,13702,Amerika,15,s230
13738,13738,Amie,18,s231
13750,13750,Amity,10,s232
13764,13764,Amnesia,13,s233
13899,13899,Amsterdam,40,s234
13906,13906,Amtv,16,s235
14041,14041,An Honest Mistake,16,s236
14122,14122,Ana,13,s237
14195,14195,Analyse,21,s238
14220,14220,Anarchy In The U.K.,14,s239
14222,14222,Anarchy In The Uk,11,s240
14337,14337,And I Love Her,10,s241
14349,14349,And I Was A Boy From School,10,s242
14368,14368,And It Rained All Night,13,s243
14404,14404,And She Was,10,s244
14630,14630,Andvari,14,s245
14645,14645,"Andy, You'Re A Star",33,s246
14657,14657,Aneurysm,10,s247
14665,14665,Angel,55,s248
14807,14807,Angelica,13,s249
14812,14812,Angelina,12,s250
14836,14836,Angels,38,s251
14916,14916,Angie,20,s252
14990,14990,Animal,26,s253
15006,15006,Animal Instinct,10,s254
15036,15036,Animals,13,s255
15110,15110,Anna Molly,12,s256
15157,15157,Annie,13,s257
15172,15172,Annie'S Angle,11,s258
15312,15312,Another Day,42,s259
15389,15389,Another Love Song,15,s260
15422,15422,Another One Bites The Dust,16,s261
15444,15444,Another Place To Fall,11,s262
15502,15502,Another Sunny Day,10,s263
15520,15520,Another Travelin' Song,10,s264
15548,15548,Another World,11,s265
15628,15628,Anthem,27,s266
15653,15653,Anthems For A Seventeen Year-Old Girl,17,s267
15714,15714,Anticipation,14,s268
15718,15718,Antidote,14,s269
15744,15744,Antistar,10,s270
15797,15797,Any Colour You Like,19,s271
15839,15839,Any Way You Want It,11,s272
15866,15866,Anyone,15,s273
15872,15872,Anyone Can Play Guitar,20,s274
15874,15874,Anyone Else But You,14,s275
15886,15886,Anything,14,s276
15911,15911,Anything Goes,13,s277
15927,15927,Anything You Want,12,s278
15930,15930,Anytime,15,s279
15941,15941,Anyway,12,s280
15955,15955,Anywhere,15,s281
15997,15997,Apache,10,s282
16070,16070,Apocalypse Please,23,s283
16107,16107,Apologize,11,s284
16140,16140,Apparition,10,s285
16169,16169,Apple Blossom,10,s286
16190,16190,Apple Tree,12,s287
16212,16212,Apply Some Pressure,14,s288
16248,16248,April,10,s289
16302,16302,Aqualung,15,s290
16314,16314,Aquarius,17,s291
16335,16335,Aqueous Transmission,12,s292
16394,16394,Arbeit Macht Frei,15,s293
16522,16522,Are We The Waiting,12,s294
16529,16529,Are You A Hypnotist??,10,s295
16569,16569,Are You Gonna Be My Girl,14,s296
16574,16574,Are You Gonna Go My Way,10,s297
16657,16657,Are You The One?,15,s298
16777,16777,Arizona,14,s299
16808,16808,Armageddon,19,s300
16877,16877,Army Dreamers,10,s301
16887,16887,Army Of Me,25,s302
16922,16922,Around The World,29,s303
16969,16969,Arrest Yourself,11,s304
17036,17036,Art Bitch,15,s305
17148,17148,"As Above, So Below",14,s306
17276,17276,As Tears Go By,10,s307
17321,17321,As Ugly As I Seem,14,s308
17382,17382,Ascension,10,s309
17424,17424,Ashes,18,s310
17439,17439,Ashes To Ashes,22,s311
17493,17493,Ask,17,s312
17500,17500,Ask For Answers,10,s313
17507,17507,Ask Me Anything,16,s314
17535,17535,Asleep,17,s315
17599,17599,Assassin,24,s316
17801,17801,At Last,18,s317
17862,17862,At The Bottom Of Everything,18,s318
17925,17925,At The River,11,s319
18002,18002,Athene,11,s320
18020,18020,Atlantic,20,s321
18034,18034,Atlantis To Interzone,15,s322
18045,18045,Atlas,16,s323
18060,18060,Atmosphere,21,s324
18071,18071,Atom,10,s325
18087,18087,Atomic,16,s326
18122,18122,Atoms For Peace,15,s327
18125,18125,Atonement,13,s328
18136,18136,Atrocity Exhibition,10,s329
18149,18149,Atta' Boy,10,s330
18154,18154,Attack,20,s331
18190,18190,Attention,13,s332
18205,18205,Attitude,15,s333
18219,18219,Atwa,17,s334
18307,18307,Auf Achse,28,s335
18386,18386,Augustine,10,s336
18391,18391,Auld Lang Syne,11,s337
18426,18426,Aurora,19,s338
18473,18473,Australia,16,s339
18492,18492,Auto Pilot,12,s340
18496,18496,Auto Rock,13,s341
18502,18502,Autobahn,17,s342
18538,18538,Automatic,23,s343
18553,18553,Automatic Lover,10,s344
18563,18563,Automatic Stop,17,s345
18602,18602,Autumn,13,s346
18622,18622,Autumn Leaves,15,s347
18636,18636,Autumn Sweater,12,s348
18666,18666,Ava Adore,13,s349
18674,18674,Avalanche,19,s350
18680,18680,Avalon,17,s351
18710,18710,Ave Maria,19,s352
18782,18782,Avril 14Th,10,s353
18798,18798,Awake,27,s354
18817,18817,Awakening,16,s355
18835,18835,Away,16,s356
19138,19138,B.Y.O.B.,22,s357
19264,19264,Baba O'Riley,17,s358
19282,19282,Babe I'M Gonna Leave You,13,s359
19290,19290,Babies,16,s360
19300,19300,Babooshka,12,s361
19302,19302,Baby,31,s362
19331,19331,Baby Blue,17,s363
19372,19372,Baby Doll,12,s364
19391,19391,Baby Fratelli,10,s365
19586,19586,Baby'S On Fire,10,s366
19630,19630,Babylon,27,s367
19717,19717,Bachelorette,17,s368
19740,19740,Back Again,12,s369
19744,19744,Back And Forth,12,s370
19764,19764,Back Door Man,14,s371
19779,19779,Back From The Dead,13,s372
19782,19782,Back Home,13,s373
19790,19790,Back In Black,19,s374
19810,19810,Back In The Day,10,s375
19832,19832,Back In The U.S.S.R.,19,s376
19935,19935,Back To Black,20,s377
19997,19997,Back To The Old House,11,s378
20010,20010,Back To The Start,13,s379
20021,20021,Back To You,11,s380
20062,20062,Backdrifts,15,s381
20063,20063,Backdrifts. (Honeymoon Is Over.),10,s382
20149,20149,Bad,20,s383
20173,20173,Bad Blood,10,s384
20177,20177,Bad Boy,16,s385
20214,20214,Bad Day,23,s386
20252,20252,Bad Habit,11,s387
20292,20292,Bad Moon Rising,20,s388
20368,20368,Bad Weekend,13,s389
20405,20405,Badlands,11,s390
20573,20573,Balaclava,11,s391
20629,20629,Ball And Biscuit,13,s392
20630,20630,Ball And Chain,10,s393
20678,20678,Ballad Of Big Nothing,10,s394
20912,20912,Banana Pancakes,11,s395
20961,20961,Bandages,14,s396
20984,20984,Bang,11,s397
20992,20992,Bang Bang,14,s398
20993,20993,Bang Bang (My Baby Shot Me Down),16,s399
21004,21004,Bang Bang You'Re Dead,19,s400
21099,21099,Banquet,25,s401
21106,21106,Banquet (Phones Disco Edit),14,s402
21115,21115,Banshee Beat,10,s403
21278,21278,Barely Legal,17,s404
21390,21390,Barracuda,10,s405
21393,21393,Barrel Of A Gun,11,s406
21501,21501,Basket Case,25,s407
21634,21634,Bathroom Girl,17,s408
21662,21662,Battersea,10,s409
21664,21664,Battery,16,s410
21671,21671,Battle,12,s411
21738,21738,Battlefield,14,s412
21847,21847,Be Be Your Love,11,s413
21873,21873,Be Free,10,s414
21895,21895,Be Here Now,11,s415
21915,21915,Be Mine,14,s416
21920,21920,Be My Baby,15,s417
21985,21985,Be Somebody,12,s418
21997,21997,Be Still My Heart,12,s419
22012,22012,Be The One,14,s420
22053,22053,Be Yourself,16,s421
22131,22131,Bear Hides And Buffalo,11,s422
22192,22192,Beat Connection,11,s423
22209,22209,Beat It,18,s424
22355,22355,Beautiful,44,s425
22359,22359,"Beautiful (7"" Canny Mix)",11,s426
22391,22391,Beautiful Boyz,12,s427
22406,22406,Beautiful Day,27,s428
22409,22409,Beautiful Day Without You,15,s429
22473,22473,Beautiful Ones,11,s430
22526,22526,Beautiful World,17,s431
22541,22541,Beauty,12,s432
22548,22548,Beauty And The Beast,12,s433
22600,22600,Beauty*2,14,s434
22619,22619,Because,26,s435
22628,22628,Because I Want You,16,s436
22638,22638,Because Of You,21,s437
22646,22646,Because The Night,12,s438
22735,22735,Bedshaped,17,s439
22783,22783,Been A Son,11,s440
22846,22846,Bees,12,s441
22893,22893,Beetlebum,15,s442
22901,22901,Before,13,s443
22907,22907,Before Departure,10,s444
23031,23031,Begging,11,s445
23075,23075,Behind Blue Eyes,26,s446
23091,23091,Behind The Bushes,12,s447
23125,23125,Behind The Sun,12,s448
23128,23128,Behind The Wall Of Sleep,10,s449
23215,23215,Bela Lugosi'S Dead,14,s450
23240,23240,Believe,37,s451
23282,23282,Believe Me Natalie,32,s452
23295,23295,Believer,12,s453
23337,23337,Belle,16,s454
23511,23511,Bend And Break,15,s455
23698,23698,Berlin,26,s456
23757,23757,Besame Mucho,11,s457
23767,23767,Beside You In Time,11,s458
23805,23805,Best Foot Forward,10,s459
23852,23852,Best Of You,13,s460
23955,23955,Better,23,s461
23972,23972,Better Days,13,s462
24001,24001,Better Living Through Chemistry,12,s463
24009,24009,Better Man,15,s464
24023,24023,Better Off Dead,14,s465
24064,24064,Better Things,11,s466
24068,24068,Better Together,13,s467
24116,24116,Between Love & Hate,10,s468
24132,24132,Between The Bars,17,s469
24144,24144,Between The Lines,15,s470
24178,24178,Beware,11,s471
24192,24192,Beware The Friendly Stranger,11,s472
24398,24398,"Bicycle Bicycle, You Are My Bicycle",10,s473
24400,24400,Bicycle Race,13,s474
24519,24519,Big Brother,13,s475
24577,24577,Big Exit,11,s476
24599,24599,Big Girl (You Are Beautiful),10,s477
24633,24633,Big In Japan,17,s478
24674,24674,Big Man With A Gun,12,s479
24711,24711,Big River,10,s480
24746,24746,Big Sur,13,s481
24762,24762,Big Time Sensuality,18,s482
24836,24836,Bigmouth Strikes Again,28,s483
24919,24919,Billie Jean,24,s484
24941,24941,Billy,12,s485
24998,24998,Binary Love,10,s486
25015,25015,Bingo,11,s487
25054,25054,Biological,16,s488
25134,25134,Bird,11,s489
25138,25138,Bird Gerhl,10,s490
25158,25158,Bird Stealing Bread,11,s491
25179,25179,Birds,28,s492
25223,25223,Birth,11,s493
25236,25236,Birthday,19,s494
25275,25275,Biscuit,22,s495
25307,25307,Bitch,20,s496
25420,25420,Bitter Sweet Symphony,15,s497
25442,25442,Bittersweet,18,s498
25459,25459,Bittersweet Symphony,13,s499
25482,25482,Bizarre Love Triangle,14,s500
25538,25538,Black,33,s501
25572,25572,Black And White Town,18,s502
25592,25592,Black Balloon,10,s503
25603,25603,Black Betty,10,s504
25636,25636,Black Cat,20,s505
25642,25642,Black Cherry,13,s506
25649,25649,Black Coffee,12,s507
25689,25689,Black Dog,18,s508
25766,25766,Black Heart,11,s509
25782,25782,Black History Month,12,s510
25783,25783,Black History Month (Alan Braxe And Fred Falke Remix),10,s511
25787,25787,Black Hole,11,s512
25793,25793,Black Hole Sun,16,s513
25800,25800,Black Horse And The Cherry Tree,11,s514
25873,25873,Black Math,18,s515
25884,25884,Black Milk,20,s516
25886,25886,Black Mirror,19,s517
25899,25899,Black Night,12,s518
25911,25911,Black Or White,10,s519
25982,25982,Black Sheep,10,s520
26013,26013,Black Star,22,s521
26039,26039,Black Swan,20,s522
26060,26060,Black Tongue,15,s523
26088,26088,Black Wave/Bad Vibrations,18,s524
26112,26112,Black-Eyed,11,s525
26127,26127,Blackbird,24,s526
26185,26185,Blackout,38,s527
26256,26256,Blame,10,s528
26341,26341,Blasphemous Rumours,10,s529
26404,26404,Bleed,17,s530
26421,26421,Bleed It Out,10,s531
26442,26442,Bleeding Heart,11,s532
26451,26451,Bleeding Love,12,s533
26530,26530,Blew,11,s534
26545,26545,Blind,48,s535
26619,26619,Blinded By The Light,11,s536
26622,26622,Blinded By The Lights,13,s537
26631,26631,Blindfold,15,s538
26650,26650,Bling (Confession Of A King),15,s539
26653,26653,Blink,11,s540
26670,26670,Bliss,26,s541
26683,26683,Blister In The Sun,15,s542
26702,26702,Blitzkrieg Bop,18,s543
26740,26740,Block Rockin' Beats,12,s544
26776,26776,Blood,30,s545
26826,26826,Blood Brothers,11,s546
26888,26888,Blood On Our Hands,10,s547
27019,27019,Bloodsport,13,s548
27105,27105,Blow,11,s549
27138,27138,Blow Out,12,s550
27169,27169,Blowin' In The Wind,20,s551
27186,27186,Blown Away,15,s552
27202,27202,Blue,37,s553
27271,27271,Blue Christmas,13,s554
27304,27304,Blue Eyes,23,s555
27367,27367,Blue Jeans,14,s556
27377,27377,Blue Light,32,s557
27378,27378,Blue Light (Engineers 'Anti-Gravity' Mix),13,s558
27402,27402,Blue Monday,30,s559
27415,27415,Blue Moon,13,s560
27439,27439,Blue Orchid,20,s561
27460,27460,Blue Ridge Mountains,15,s562
27491,27491,Blue Skies,15,s563
27535,27535,Blue Turning Gray,13,s564
27539,27539,Blue Veins,13,s565
27559,27559,Bluebells,11,s566
27569,27569,Bluebird,15,s567
27644,27644,Blues In The Night,10,s568
27906,27906,Bodies,17,s569
27926,27926,Body And Soul,14,s570
27989,27989,Bodyrock,12,s571
27993,27993,Bodysnatchers,27,s572
28024,28024,Bohemian Like You,16,s573
28027,28027,Bohemian Rhapsody,22,s574
28195,28195,Bombtrack,14,s575
28240,28240,Bone Broke,11,s576
28247,28247,Bone Machine,15,s577
28265,28265,Bones,35,s578
28288,28288,Bongo Bong,10,s579
28344,28344,Bonus Track,25,s580
28499,28499,Boom Boom,10,s581
28516,28516,Boom!,13,s582
28626,28626,Borderline,14,s583
28699,28699,Born Again,14,s584
28776,28776,Born Slippy,12,s585
28797,28797,Born To Be A Dancer,18,s586
28806,28806,Born To Be Wild,12,s587
28829,28829,Born To Lose,10,s588
28841,28841,Born To Run,11,s589
28847,28847,Born Under A Bad Sign,10,s590
28978,28978,Bother,10,s591
28998,28998,Bottle Rocket,17,s592
29001,29001,Bottle Up And Explode!,10,s593
29019,29019,Bottom,14,s594
29064,29064,Boulevard Of Broken Dreams,27,s595
29068,29068,Bounce,22,s596
29221,29221,Bowl Of Oranges,12,s597
29279,29279,Boy From School,14,s598
29311,29311,Boy With A Coin,10,s599
29333,29333,Boys,20,s600
29360,29360,Boys Don'T Cry,25,s601
29372,29372,Boys In The Band,14,s602
29376,29376,Boys Keep Swinging,12,s603
29413,29413,Boyz,12,s604
29478,29478,Brain Damage,16,s605
29543,29543,Brand New Cadillac,16,s606
29545,29545,Brand New Colony,20,s607
29547,29547,Brand New Day,10,s608
29578,29578,Brandenburg,14,s609
29644,29644,Brandy Alexander,14,s610
29662,29662,Bratislava,10,s611
29682,29682,Brave New World,13,s612
29703,29703,Brazil,12,s613
29715,29715,Brazilian Sun,10,s614
29741,29741,Break,14,s615
29791,29791,Break Me Gently,10,s616
29794,29794,Break My Body,12,s617
29803,29803,Break On Through,13,s618
29804,29804,Break On Through (To The Other Side),14,s619
29879,29879,Breakaway,16,s620
29883,29883,Breakdown,35,s621
29991,29991,Breakout,16,s622
30007,30007,Breath,15,s623
30030,30030,Breathe,64,s624
30065,30065,Breathe In,19,s625
30077,30077,Breathe Me,23,s626
30101,30101,Breathing,15,s627
30113,30113,Breathless,25,s628
30123,30123,Breed,16,s629
30207,30207,Brianstorm,15,s630
30215,30215,Brick Is Red,11,s631
30251,30251,Bridge Over Troubled Water,19,s632
30264,30264,Bridges And Balloons,11,s633
30291,30291,Bright Eyes,10,s634
30299,30299,Bright Lights,12,s635
30340,30340,Brighter Than Sunshine,16,s636
30423,30423,Bring It On,18,s637
30432,30432,Bring It On Down,12,s638
30435,30435,Bring It On Home,15,s639
30462,30462,Bring Me To Life,17,s640
30478,30478,Bring On The Dancing Horses,10,s641
30619,30619,Broadway,10,s642
30652,30652,Broken,35,s643
30678,30678,Broken Box,12,s644
30679,30679,Broken Boy Soldier,15,s645
30680,30680,Broken Breads,10,s646
30703,30703,Broken Face,14,s647
30706,30706,Broken Glass,10,s648
30710,30710,Broken Harp,11,s649
30714,30714,Broken Heart,10,s650
30798,30798,Broken Wings,12,s651
30882,30882,Brother,27,s652
30940,30940,Brothers And Sisters,10,s653
30942,30942,Brothers In Arms,14,s654
30945,30945,Brothers On A Hotel Bed,20,s655
30961,30961,Brown Eyed Girl,14,s656
30981,30981,Brown Sugar,20,s657
31022,31022,Bruise Pristine,16,s658
31089,31089,Bryn,10,s659
31180,31180,Bubbles,19,s660
31234,31234,Bucky Done Gun,14,s661
31266,31266,Buddy Holly,23,s662
31371,31371,"Build God, Then We'Ll Talk",14,s663
31436,31436,Bukowski,12,s664
31466,31466,Bullet,15,s665
31481,31481,Bullet In The Head,14,s666
31485,31485,Bullet Proof,11,s667
31490,31490,Bullet Proof..I Wish I Was,17,s668
31497,31497,Bullet With Butterfly Wings,18,s669
31503,31503,Bulletproof Cupid,11,s670
31506,31506,Bullets,21,s671
31524,31524,Bulls On Parade,10,s672
31684,31684,Buried Alive,10,s673
31709,31709,Burn,36,s674
31723,31723,Burn Baby Burn,12,s675
31790,31790,Burn The Witch,15,s676
31838,31838,Burning,15,s677
31849,31849,Burning Bridges,10,s678
31864,31864,Burning Down The House,19,s679
31916,31916,Burning Up,16,s680
31925,31925,Burnout,11,s681
31968,31968,Bury Me With It,11,s682
31992,31992,Bus Stop,10,s683
32060,32060,Busted,11,s684
32115,32115,But It'S Better If You Do,13,s685
32139,32139,Butcher Blues,11,s686
32163,32163,Butterflies,19,s687
32166,32166,Butterflies And Hurricanes,24,s688
32170,32170,Butterfly,30,s689
32176,32176,Butterfly Caught,16,s690
32210,32210,Buttons,10,s691
32306,32306,By My Side,19,s692
32339,32339,By The Sea,12,s693
32353,32353,By The Way,29,s694
32368,32368,By Your Side,24,s695
32510,32510,C'Est La Vie,11,s696
32530,32530,C'Mere,20,s697
32539,32539,C'Mon C'Mon,13,s698
32546,32546,C'Mon Girl,10,s699
32706,32706,Cactus,16,s700
32849,32849,Calculation Theme,13,s701
32865,32865,Calendar Girl,10,s702
32888,32888,California,37,s703
32908,32908,California Dreamin',14,s704
32921,32921,California Girls,11,s705
32963,32963,Californication,24,s706
32991,32991,Call It A Day,14,s707
33005,33005,Call Me,30,s708
33064,33064,Call On Me,14,s709
33100,33100,Callbacks,13,s710
33114,33114,Calling,11,s711
33151,33151,Calling You,14,s712
33173,33173,Calm Like A Bomb,11,s713
33242,33242,Camera,16,s714
33275,33275,Camisado,15,s715
33285,33285,Campaign Of Hate,10,s716
33302,33302,Campus,10,s717
33496,33496,Can'T Buy Me Love,17,s718
33557,33557,Can'T Get Enough,11,s719
33566,33566,Can'T Get It Out Of My Head,10,s720
33588,33588,Can'T Get You Out Of My Head,15,s721
33620,33620,Can'T Help Falling In Love,12,s722
33659,33659,Can'T Lose,10,s723
33704,33704,Can'T Stand Losing You,10,s724
33705,33705,Can'T Stand Me Now,18,s725
33716,33716,Can'T Stop,38,s726
33728,33728,Can'T Stop Now,13,s727
33761,33761,Can'T Take My Eyes Off You,14,s728
33831,33831,Cancer,10,s729
33848,33848,Candidate,14,s730
33853,33853,Candle,14,s731
33865,33865,Candy,32,s732
33903,33903,Candy Shop,11,s733
33923,33923,Candyman,12,s734
33965,33965,Cannonball,26,s735
34101,34101,Cape Cod Kwassa Kwassa,12,s736
34154,34154,Capricorn,11,s737
34225,34225,Capture The Flag,11,s738
34298,34298,Caravan,17,s739
34321,34321,Carbon Monoxide,11,s740
34375,34375,Career Opportunities,10,s741
34382,34382,Careful,19,s742
34391,34391,Careless Love,10,s743
34423,34423,Caribou,15,s744
34429,34429,Caring Is Creepy,22,s745
34546,34546,Carnival,21,s746
34555,34555,Carnival Kids,10,s747
34568,34568,Carnival Town,10,s748
34604,34604,Caroline,16,s749
34620,34620,"Caroline, Yes",16,s750
34629,34629,Carousel,24,s751
34668,34668,Carrion,12,s752
34691,34691,Carry Me Home,11,s753
34713,34713,Carry That Weight,13,s754
34808,34808,Casanova 70,13,s755
34851,34851,Cash Cow,12,s756
34857,34857,Cash Machine,15,s757
34877,34877,Casimir Pulaski Day,13,s758
